2024-08-28 20:18:23,755 [Worker-15: Creating project "HashCodeGenerator"] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /HashCodeGenerator/src/test/resources
2024-08-28 20:18:24,035 [Worker-6: Building] WARN  o.a.m.s.f.DefaultMavenResourcesFiltering - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-08-28 20:18:24,042 [Worker-6: Building] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src\main\resources to target\classes
2024-08-28 20:18:24,044 [Worker-6: Building] WARN  o.a.m.s.f.DefaultMavenResourcesFiltering - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-08-28 20:18:24,045 [Worker-6: Building] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src\test\resources to target\test-classes
2024-08-28 20:19:02,474 [Worker-0: Building] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HashCodeGenerator:HashCodeGenerator:0.0.1-SNAPSHOT @ C:\Users\swapnali\OneDrive\Desktop\TestAPI\APITest\HashCodeGenerator\pom.xml.
2024-08-28 20:19:02,505 [Worker-0: Building] WARN  o.a.m.s.f.DefaultMavenResourcesFiltering - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-08-28 20:19:02,508 [Worker-0: Building] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src\main\resources to target\classes
2024-08-28 20:19:02,510 [Worker-0: Building] WARN  o.a.m.s.f.DefaultMavenResourcesFiltering - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-08-28 20:19:02,512 [Worker-0: Building] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src\test\resources to target\test-classes
2024-08-28 20:19:02,531 [Worker-16: Updating Maven Project] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2024-08-28 20:19:02,566 [Worker-16: Updating Maven Project] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HashCodeGenerator:HashCodeGenerator:0.0.1-SNAPSHOT @ C:\Users\swapnali\OneDrive\Desktop\TestAPI\APITest\HashCodeGenerator\pom.xml.
2024-08-28 20:19:02,598 [Worker-16: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /HashCodeGenerator/src
2024-08-28 20:19:02,598 [Worker-16: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /HashCodeGenerator/src/main/resources overlaps with sources folder /HashCodeGenerator/src/main/resources
2024-08-28 20:19:02,599 [Worker-16: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /HashCodeGenerator/src/test/java
2024-08-28 20:19:02,599 [Worker-16: Updating Maven Project] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /HashCodeGenerator/src/test/resources overlaps with sources folder /HashCodeGenerator/src/test/resources
2024-08-28 20:19:02,601 [Worker-16: Updating Maven Project] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed for 1 poms: local refresh takes 0.00 sec, refresh facades takes 0.00 sec, update config takes 0.00 sec 
2024-08-28 20:19:13,488 [Worker-13: Building] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HashCodeGenerator:HashCodeGenerator:0.0.1-SNAPSHOT @ C:\Users\swapnali\OneDrive\Desktop\TestAPI\APITest\HashCodeGenerator\pom.xml.
2024-08-28 20:19:13,525 [Worker-13: Building] WARN  o.a.m.s.f.DefaultMavenResourcesFiltering - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-08-28 20:19:13,528 [Worker-13: Building] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src\main\resources to target\classes
2024-08-28 20:19:13,533 [Worker-13: Building] WARN  o.a.m.s.f.DefaultMavenResourcesFiltering - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2024-08-28 20:19:13,536 [Worker-13: Building] INFO  o.a.m.s.f.DefaultMavenResourcesFiltering - Copying 0 resource from src\test\resources to target\test-classes
2024-08-28 20:19:59,006 [Worker-12: Building] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: HashCodeGenerator:HashCodeGenerator:0.0.1-SNAPSHOT @ C:\Users\swapnali\OneDrive\Desktop\TestAPI\APITest\HashCodeGenerator\pom.xml.
2024-08-28 20:19:59,101 [Worker-12: Building] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/fasterxml/jackson/core/jackson-databind/2.15.2/jackson-databind-2.15.2.pom
